,0
MRR@10,0.2347390873015873
Recall@10,0.45379166666666665
QueriesWithNoRelevant@10,1077.0
QueriesWithRelevant@10,923.0
AverageRankGoldLabel@10,3.4810400866738895
MedianRankGoldLabel@10,3.0
MRR@20,0.24077745821644814
Recall@20,0.54
QueriesWithNoRelevant@20,907.0
QueriesWithRelevant@20,1093.0
AverageRankGoldLabel@20,5.208600182982616
MedianRankGoldLabel@20,3.0
MRR@1000,0.24295848570138834
Recall@1000,0.6002916666666668
QueriesWithNoRelevant@1000,788.0
QueriesWithRelevant@1000,1212.0
AverageRankGoldLabel@1000,7.476072607260726
MedianRankGoldLabel@1000,4.0
nDCG@3,0.2193278205313357
nDCG@5,0.25331063909837614
nDCG@10,0.28490043232079243
nDCG@20,0.30723459672998704
nDCG@1000,0.31982254673085286
QueriesRanked,2000.0
MAP@1000,0.23954882069964484
